0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554,0.096554
0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.174475,0.136546,0.174475,0.17257855
0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749,0.16749
0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617,0.315617
0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927,0.351927
0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934,0.071934
0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271,0.098271
0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166,0.138166
0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232,0.050232
0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.125287,0.231989,0.125287,0.125287,0.231989,0.125287,0.125287,0.125287,0.125287,0.1359572
0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068,0.333068
